prob_emp,var_names
0.6073445925636706,male
0.6173803456234386,asian_indian
0.605591961211343,white
0.38811536494231397,tradeunion
0.5183838048559273,schooling
0.4243950251725438,cert_nomat
0.3667716780459336,dip_nomat
0.40763660076445446,cert_mat
0.5153346491858039,dip_mat
0.5206226035998833,bachelors
0.3435348439473041,honours
0.46950272121463416,married
0.5822849339375138,homerooms
0.49578669830706157,homeroomssq
0.45373287823324715,hhintmonth_5
0.44869569114457875,hhintmonth_7
0.606541016032902,hhintmonth_10
0.6029455846171873,hhintmonth_11
0.7894594850407581,hhintmonth_12
0.5754910915512425,province_2
0.4772582328896811,province_3
0.6046345284794901,province_4
0.6072136829243822,province_6
0.5583949447958748,province_7
0.48508863502997146,province_8
0.6037787301526427,province_9
0.25613915078705074,geo2011_3
