fwag,male,asian_indian,white,tradeunion,schooling,cert_nomat,dip_nomat,cert_mat,dip_mat,bachelors,honours,married,homerooms,homeroomssq,hhintmonth_5,hhintmonth_7,hhintmonth_10,hhintmonth_11,hhintmonth_12,province_2,province_3,province_4,province_6,province_7,province_8,province_9,geo2011_3,coloured,best_age_yrs,agesq,schoolingsq,bach_dip,hhintmonth_3,hhintmonth_4,hhintmonth_6,hhintmonth_8,hhintmonth_9,province_5,geo2011_2,ident,original,pesos
4000,0,0,0,1,12,0,1,0,0,0,0,0,7,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,729,144,0,0,0,0,1,0,0,0,20189,4000,140.21563720703125
4000,0,0,0,1,12,0,0,1,0,0,0,0,7,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,2401,144,0,0,0,0,1,0,0,0,9383,4000,140.21563720703125
1200,0,0,0,0,12,0,0,0,0,0,0,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,625,144,0,0,0,0,0,0,1,1,26593,1200,1430.4290771484375
2500,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23,529,144,0,0,0,0,0,0,0,1,39961,2500,100.3417739868164
6100,0,0,0,0,10,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,3249,100,0,1,0,0,0,0,0,1,4590,6100,583.4381103515625
7000,1,0,0,1,12,0,0,0,1,0,0,0,4,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,3600,144,0,0,1,0,0,0,0,0,4257,7000,342.3885803222656
6800,1,0,0,1,12,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,30,900,144,0,0,0,1,0,0,0,0,28932,6800,229.4881134033203
4465,1,0,0,0,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,841,144,0,0,0,0,0,0,0,1,21545,4465,548.14361572265625
825,1,0,0,0,6,0,0,0,0,0,0,1,4,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,2209,36,0,0,0,0,0,0,0,1,7560,825,334.2874755859375
29018,1,0,0,0,12,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,1681,144,0,1,0,0,0,0,0,1,8706,29018,4497.39599609375
11000,1,0,0,1,12,0,0,1,0,0,0,0,7,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,961,144,0,0,0,0,0,0,0,1,34607,11000,133.77503967285156
16000,0,0,1,0,12,0,0,0,0,0,1,0,6,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,784,144,0,0,0,0,0,0,1,1,15923,16000,2496.964111328125
54000,1,0,1,0,12,0,0,0,0,0,0,1,6,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,2916,144,0,0,0,0,0,0,1,1,29524,54000,2496.964111328125
3000,1,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,900,100,0,0,0,1,0,0,1,0,8090,3000,4151.4267578125
6000,1,0,0,0,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,36,1296,144,0,0,0,0,0,0,0,1,34789,6000,884.32855224609375
3800,1,0,0,1,12,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,34,1156,144,0,0,0,0,0,0,0,1,30811,3800,2927.68701171875
2100,1,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40,1600,121,0,0,0,0,0,0,0,1,28276,2100,2256.80615234375
1232,1,0,0,0,7,0,0,0,0,0,0,1,6,36,0,0,0,1,0,0,0,0,0,0,0,0,1,1,38,1444,49,0,0,0,0,0,0,0,0,9606,1232,1836.2388916015625
977,0,0,0,0,7,0,0,0,0,0,0,1,6,36,0,0,0,1,0,0,0,0,0,0,0,0,1,1,34,1156,49,0,0,0,0,0,0,0,0,3382,977,1836.2388916015625
1000,1,0,0,0,12,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,324,144,0,1,0,0,0,0,0,0,35543,1000,3809.658203125
3000,1,0,0,1,12,1,0,0,0,0,0,0,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,45,2025,144,0,0,0,0,0,0,0,1,10841,3000,475.7752685546875
2500,0,0,0,0,7,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,33,1089,49,0,0,0,0,0,0,0,1,19159,2500,475.7752685546875
4500,1,0,0,1,12,0,0,0,0,0,0,1,5,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,961,144,0,1,0,0,0,0,0,0,2079,4500,1954.2947998046875
1750,1,0,0,0,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,900,144,0,0,0,1,0,0,0,1,36326,1750,2602.2333984375
14900,0,0,0,1,12,0,0,0,0,0,0,1,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2209,144,1,1,0,0,0,0,1,1,24050,14900,758.26190185546875
11000,0,0,0,0,12,1,0,0,0,0,0,0,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,961,144,0,0,0,0,0,0,0,1,32111,11000,269.9902648925781
2500,0,0,0,0,11,0,0,0,0,0,0,0,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1296,121,0,0,0,0,0,0,0,1,28508,2500,269.9902648925781
9023,1,0,0,1,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,961,144,0,0,0,0,0,1,0,1,17343,9023,1897.985595703125
4500,1,0,0,0,10,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,729,100,0,0,0,0,0,0,0,0,2273,4500,553.9423828125
2600,1,0,0,0,10,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,38,1444,100,0,0,0,0,0,0,0,1,10591,2600,1240.520751953125
6000,0,0,0,1,12,1,0,0,0,0,0,1,5,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,48,2304,144,0,0,0,0,0,0,0,1,30326,6000,1254.656494140625
3300,1,0,0,0,8,0,0,0,0,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,24,576,64,0,0,0,0,0,0,0,0,12301,3300,522.00225830078125
780,0,0,0,0,8,0,0,0,0,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,27,729,64,0,0,0,0,0,0,0,0,644,780,522.00225830078125
1500,1,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,1600,36,0,0,0,1,0,0,0,0,15705,1500,7039.6513671875
2500,1,0,0,0,12,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,1849,144,0,0,0,0,0,0,0,1,35376,2500,15980.65625
2000,1,0,0,0,12,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,1521,144,0,0,0,0,0,0,0,1,40136,2000,15980.65625
820,0,0,0,1,12,0,0,0,0,1,0,0,7,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1089,144,0,0,0,0,0,0,1,1,37912,820,1155.710693359375
600,0,0,0,0,4,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,2500,16,0,0,0,0,0,0,1,0,17427,600,3132.181396484375
680,0,0,0,0,6,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46,2116,36,0,0,0,1,0,0,0,1,17871,680,866.35845947265625
1750,0,0,0,0,0,0,0,0,0,0,0,0,6,36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,48,2304,0,0,0,0,0,0,0,0,0,26721,1750,1620.5889892578125
6500,0,0,0,1,10,0,0,0,0,0,0,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1849,100,0,0,0,0,0,0,0,1,10696,6500,1188.2333984375
2500,0,0,0,0,9,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,676,81,0,1,0,0,0,0,0,1,10538,2500,659.06414794921875
5200,1,0,0,0,12,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,961,144,0,1,0,0,0,0,0,1,30302,5200,659.06414794921875
5000,0,0,0,1,12,0,0,0,1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,841,144,0,1,0,0,0,0,0,1,26379,5000,659.06414794921875
2900,0,0,0,1,11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,1681,121,0,0,0,1,0,0,0,1,33154,2900,1347.03564453125
1500,0,0,0,0,12,0,0,0,0,0,0,1,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,1681,144,0,0,0,0,0,0,1,1,7379,1500,4215.19140625
8000,0,0,0,0,12,0,1,0,0,0,0,1,4,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,961,144,0,0,0,0,0,0,0,1,33260,8000,542.96771240234375
4800,0,0,0,0,12,0,0,0,0,0,0,1,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,1521,144,0,0,0,0,0,0,1,1,7200,4800,868.69573974609375
8000,1,0,0,0,11,0,0,0,0,0,0,0,5,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,625,121,0,0,1,0,0,0,0,1,18915,8000,774.44805908203125
3300,1,0,0,0,12,0,0,1,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,576,144,0,0,0,0,0,0,0,1,6818,3300,149.106689453125
4400,1,0,0,1,11,0,0,0,0,0,0,1,5,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,2025,121,0,0,0,0,0,0,0,1,16327,4400,149.106689453125
4500,1,0,0,0,12,0,0,0,0,0,0,1,3,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,26,676,144,0,0,0,0,0,0,0,1,18520,4500,183.79214477539063
5800,0,0,0,0,11,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,29,841,121,0,1,0,0,0,0,0,1,24727,5800,383.288818359375
10000,1,0,0,0,12,0,0,0,1,0,0,1,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,34,1156,144,0,1,0,0,0,0,0,1,17908,10000,383.288818359375
14000,0,0,0,0,12,0,0,0,0,0,0,0,7,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,441,144,0,0,0,1,0,0,0,1,29929,14000,10204.5849609375
19000,1,0,0,1,12,0,0,0,1,0,0,1,7,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50,2500,144,0,0,0,1,0,0,0,1,4876,19000,10204.5849609375
23000,0,0,0,0,12,0,0,0,1,0,0,1,7,49,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46,2116,144,0,0,0,1,0,0,0,1,22551,23000,10204.5849609375
9000,0,0,0,1,12,0,0,1,0,0,0,1,5,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,1156,144,0,0,1,0,0,0,0,0,40187,9000,732.18865966796875
8000,1,0,0,1,12,0,0,1,0,0,0,1,5,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,1369,144,0,0,1,0,0,0,0,0,4333,8000,732.18865966796875
12000,0,0,1,0,12,0,0,0,0,0,0,0,5,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,2401,144,0,0,0,0,0,1,0,1,39082,12000,2561.577392578125
3070,1,0,0,1,10,0,0,0,0,0,0,0,4,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,1600,100,0,0,0,1,0,0,0,0,17087,3070,1191.0516357421875
10600,1,0,0,1,12,0,0,0,1,0,0,1,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46,2116,144,0,0,0,0,1,0,0,1,31524,10600,262.71490478515625
1500,1,0,1,0,12,0,0,0,0,0,0,1,5,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,625,144,0,0,0,0,0,1,0,1,28641,1500,4809.21826171875
2000,0,0,0,0,9,0,0,0,0,0,0,0,4,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,27,729,81,0,0,0,0,0,0,0,0,18334,2000,1673.4234619140625
3000,0,0,0,0,12,0,0,1,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1444,144,0,1,0,0,0,0,1,0,21549,3000,313.92340087890625
6000,1,0,0,0,12,0,0,0,0,0,0,0,5,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,729,144,0,0,0,0,0,0,1,1,934,6000,1814.8262939453125
5400,0,0,0,0,12,0,0,0,0,0,0,0,5,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1024,144,0,0,0,0,0,0,1,1,32869,5400,1814.8262939453125
12000,0,0,1,1,12,0,0,1,0,0,0,0,6,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,3969,144,0,0,0,0,0,0,0,1,29176,12000,963.79669189453125
2680,1,0,0,0,12,0,0,0,1,0,0,1,4,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,729,144,0,0,0,0,0,0,0,1,35035,2680,900.26025390625
1200,0,0,0,0,10,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,400,100,0,0,0,0,0,0,0,1,27480,1200,1501.8638916015625
2600,0,0,0,0,9,0,0,0,0,0,0,1,5,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,1521,81,0,0,0,0,0,0,1,0,15721,2600,378.6926574707031
4400,1,0,0,0,11,0,0,0,0,0,0,1,5,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,2304,121,0,0,0,0,0,0,1,0,23688,4400,378.6926574707031
4319,1,0,0,0,12,1,0,0,0,0,0,0,7,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,676,144,0,0,1,0,0,0,0,0,7261,4319,1633.3216552734375
5700,1,0,0,0,11,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,30,900,121,0,0,0,0,0,0,0,0,11723,5700,2169.146240234375
11000,1,0,0,0,12,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1936,144,0,0,0,0,0,1,0,1,21105,11000,140.13084411621094
15200,1,0,0,1,11,0,0,0,0,0,0,1,5,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31,961,121,0,0,0,0,0,0,0,1,5846,15200,707.43206787109375
3000,1,0,0,1,12,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,676,144,0,0,1,0,0,0,1,0,21519,3000,5493.2001953125
1000,1,0,0,0,9,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,625,81,0,0,1,0,0,0,1,0,27764,1000,5493.2001953125
2200,0,0,0,0,7,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,56,3136,49,0,0,0,0,0,0,0,1,13006,2200,418.6448669433594
3400,1,0,0,1,7,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,484,49,0,0,0,0,0,0,0,1,14718,3400,418.6448669433594
2400,0,0,0,0,9,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,529,81,0,0,0,0,0,0,0,1,8131,2400,418.6448669433594
11000,1,0,0,1,11,0,0,0,0,0,0,1,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,3481,121,0,1,0,0,0,0,0,0,18201,11000,717.098388671875
4800,0,0,0,1,10,0,0,0,0,0,0,1,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,3249,100,0,1,0,0,0,0,0,0,16609,4800,717.098388671875
10300,1,0,0,0,10,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,784,100,0,0,0,0,1,0,0,1,32323,10300,1268.814453125
14629,0,0,1,0,12,0,0,0,0,0,0,0,11,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,841,144,0,0,0,0,0,0,0,1,26008,14629,1740.2900390625
20340,0,0,1,1,12,0,0,0,1,0,0,1,11,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3481,144,0,0,0,0,0,0,0,1,24962,20340,1740.2900390625
44950,1,0,1,1,12,0,0,0,0,0,0,1,11,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3481,144,0,0,0,0,0,0,0,1,15179,44950,1740.2900390625
1700,0,0,0,0,12,0,0,1,0,0,0,0,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,38,1444,144,0,0,0,0,0,0,0,0,22801,1700,711.35455322265625
1500,1,0,0,0,11,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,900,121,0,0,1,0,0,0,0,0,23287,1500,617.786376953125
1200,0,0,0,0,6,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,2916,36,0,0,1,0,0,0,0,0,35064,1200,617.786376953125
2700,0,0,0,0,12,0,1,0,0,0,0,1,4,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,841,144,0,1,0,0,0,0,0,1,37398,2700,5989.67724609375
1200,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,784,49,0,0,0,0,1,0,1,1,28454,1200,1117.281494140625
3000,1,0,0,0,12,1,0,0,0,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,1764,144,0,0,0,0,0,0,1,1,35540,3000,213.16455078125
2800,0,0,0,0,12,0,0,0,0,0,0,0,4,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44,1936,144,0,0,0,0,0,0,0,1,7574,2800,223.6223907470703
6000,1,0,0,0,12,0,0,1,0,0,0,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1444,144,0,0,0,0,1,0,1,0,15983,6000,361.8797607421875
7500,1,0,0,1,0,0,0,0,0,0,0,1,6,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,3025,0,0,1,0,0,0,0,0,1,16323,7500,145.39353942871094
3000,0,0,0,0,12,0,0,0,0,0,0,0,6,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,484,144,0,1,0,0,0,0,0,1,7986,3000,145.39353942871094
2000,0,0,0,0,12,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,841,144,0,0,0,0,1,0,1,1,5184,2000,480.7135314941406
5346,0,0,0,1,12,0,0,1,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2809,144,0,0,0,1,0,0,1,0,26865,5346,130.5098419189453
8000,0,0,0,1,12,0,0,0,0,1,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2916,144,0,0,0,0,0,1,1,0,31823,8000,332.03173828125
19000,1,0,0,0,8,0,0,0,0,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,54,2916,64,0,0,0,0,0,0,0,1,15071,19000,2032.0118408203125
1000,0,0,0,0,9,0,0,0,0,0,0,0,9,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1444,81,0,0,0,0,0,0,1,0,20274,1000,808.9542236328125
3200,0,0,0,1,12,0,0,0,0,0,0,0,5,25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,47,2209,144,0,0,0,0,0,0,0,1,38964,3200,6604.0185546875
1500,0,0,0,0,9,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,1936,81,0,0,0,0,0,0,0,1,5260,1500,431.7362060546875
4000,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,1089,100,0,0,0,0,0,0,0,1,36875,4000,4993.67529296875
14000,1,0,0,1,12,0,0,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,961,144,0,0,1,0,0,0,0,1,38418,14000,1717.374755859375
10000,1,0,0,1,12,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,729,144,0,0,0,0,0,0,1,0,9453,10000,2262.260986328125
5400,1,0,0,0,7,0,0,0,0,0,0,1,4,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,3025,49,0,0,0,0,0,1,0,0,8096,5400,2010.151611328125
3230,0,0,0,0,12,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,484,144,0,0,0,0,0,0,0,1,28966,3230,2283.770263671875
5030,1,0,0,0,11,0,0,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,784,121,0,0,1,0,0,0,0,0,6958,5030,1710.0133056640625
2200,1,0,0,0,10,0,0,0,0,0,0,1,6,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,729,100,0,0,1,0,0,0,0,0,21852,2200,1710.0133056640625
